Restaurant_Name,City,Country,Cuisine_Type,Michelin_Stars,Average_Price_USD,Chef,Established_Year,Seating_Capacity,Rating,Signature_Dish,Years_Operating,Price_Category,Star_Category,Continent,Price_Bucket,Computed_Years_Operating,Is_Ultra_Luxury
Restaurant André,Singapore,Singapore,Asian Fusion,2,285.0,André Chiang,2010,30,4.7,Octopus,15,Luxury,Two Stars,Asia,Mid-Range,15,0
Amber,Hong Kong,Hong Kong,French,2,245.0,Richard Ekkebus,2005,46,4.7,Langoustine,20,Premium,Two Stars,Asia,Mid-Range,20,0
Disfrutar,Barcelona,Spain,Mediterranean,2,250.0,Oriol Castro,2014,52,4.6,Panchino,11,Luxury,Two Stars,Europe,Mid-Range,11,0
Mugaritz,Errenteria,Spain,Basque Experimental,2,275.0,Andoni Luis Aduriz,1998,20,4.6,Edible Stones,27,Luxury,Two Stars,Europe,Mid-Range,27,0
Alchemist,Copenhagen,Denmark,Experimental,2,490.625,Rasmus Munk,2015,50,4.5,Dehydrated Malt Flatbread,10,Ultra-Luxury,Two Stars,Europe,Premium,10,1
Asador Etxebarri,Axpe,Spain,Basque Grill,1,210.0,Victor Arguinzoniz,1990,30,4.7,Grilled Turbot,35,Premium,One Star,Europe,Mid-Range,35,0
The Clove Club,London,UK,British Contemporary,1,165.0,Isaac McHale,2013,40,4.6,Buttermilk Chicken,12,Premium,One Star,Europe,Mid-Range,12,0
Burnt Ends,Singapore,Singapore,Modern BBQ,1,165.0,Dave Pynt,2013,26,4.6,Sanger,12,Premium,One Star,Asia,Mid-Range,12,0
Septime,Paris,France,French Contemporary,1,95.0,Bertrand Grébaut,2011,28,4.5,Celeriac Toast,14,Fine Dining,One Star,Europe,Budget,14,0
Central,Lima,Peru,Contemporary Peruvian,0,180.0,Virgilio Martínez,2008,50,4.8,Piranha & Coca,17,Premium,No Stars,South America,Mid-Range,17,0
Maido,Lima,Peru,Nikkei,0,165.0,Mitsuharu Tsumura,2009,36,4.7,Causa Nikkei,16,Premium,No Stars,South America,Mid-Range,16,0
Pujol,Mexico City,Mexico,Contemporary Mexican,0,155.0,Enrique Olvera,2000,55,4.7,Mole Madre,25,Premium,No Stars,North America,Mid-Range,25,0
Gaggan Anand,Bangkok,Thailand,Progressive Indian,0,195.0,Gaggan Anand,2017,14,4.6,Lick It Up,8,Premium,No Stars,Asia,Mid-Range,8,0
Quintonil,Mexico City,Mexico,Contemporary Mexican,0,140.0,Jorge Vallejo,2012,48,4.6,Esquites,13,Fine Dining,No Stars,North America,Budget,13,0
Sühring,Bangkok,Thailand,Contemporary German,0,185.0,Thomas & Mathias Sühring,2014,48,4.6,Massaman Curry,11,Premium,No Stars,Asia,Mid-Range,11,0
Boragó,Santiago,Chile,Chilean Contemporary,0,145.0,Rodolfo Guzmán,2006,40,4.6,Sea Urchin,19,Fine Dining,No Stars,South America,Budget,19,0
Blue Hill at Stone Barns,Pocantico Hills,USA,Farm-to-Table,0,285.0,Dan Barber,2004,70,4.6,Root Vegetables,21,Luxury,No Stars,North America,Mid-Range,21,0
White Rabbit,Moscow,Russia,Contemporary Russian,0,220.0,Vladimir Mukhin,2011,50,4.5,King Crab,14,Premium,No Stars,Europe,Mid-Range,14,0
Leo,Bogotá,Colombia,Colombian Contemporary,0,125.0,Leonor Espinosa,2007,45,4.5,Amazon Ants,18,Fine Dining,No Stars,South America,Budget,18,0
Lyle's,London,UK,British Contemporary,0,85.0,James Lowe,2014,38,4.5,Pork Chop,11,Fine Dining,No Stars,Europe,Budget,11,0
